a_x, a_y, a_z, t
0.0,-0.0,0.25,1.0708694458007812
-0.0,-0.01,0.25,1.0744612216949463
-0.01,-0.0,0.25,1.0752007961273193
-0.0,-0.01,0.25,1.0800769329071045
-0.0,-0.01,0.25,1.0810015201568604
0.0,-0.0,0.25,1.082897663116455
0.0,-0.0,0.24,1.0835154056549072
-0.01,-0.0,0.25,1.0866799354553223
0.0,-0.0,0.25,1.091578483581543
0.0,-0.01,0.25,1.0925066471099854
-0.0,-0.0,0.25,1.0949769020080566
-0.01,-0.0,0.24,1.095630168914795
-0.0,-0.01,0.25,1.0987403392791748
-0.0,-0.0,0.25,1.1003844738006592
-0.0,-0.0,0.25,1.1021349430084229
-0.0,-0.01,0.25,1.102752685546875
-0.01,-0.01,0.24,1.1061022281646729
-0.0,-0.01,0.25,1.1067817211151123
-0.0,0.0,0.26,1.1101434230804443
0.02,-0.0,0.24,1.1105256080627441
-0.0,0.0,0.25,1.1144585609436035
-0.0,-0.02,0.25,1.1157786846160889
-0.01,-0.0,0.24,1.1185998916625977
0.0,-0.0,0.25,1.119062900543213
0.0,-0.01,0.24,1.1235508918762207
-0.0,0.0,0.25,1.1243915557861328
0.01,-0.01,0.24,1.1274456977844238
0.0,0.0,0.25,1.1277878284454346
0.0,-0.01,0.25,1.132225751876831
-0.0,-0.01,0.24,1.1328349113464355
-0.0,0.0,0.25,1.1359238624572754
0.0,-0.0,0.25,1.1362667083740234
0.0,-0.0,0.25,1.1401042938232422
0.0,-0.0,0.25,1.140594720840454
0.01,-0.0,0.25,1.1442246437072754
-0.0,-0.01,0.24,1.1446034908294678
0.01,-0.01,0.25,1.149414300918579
0.0,-0.01,0.25,1.150031328201294
0.01,-0.01,0.24,1.1525640487670898
-0.0,0.01,0.25,1.1529107093811035
-0.0,-0.0,0.25,1.1566216945648193
-0.0,-0.01,0.24,1.1571335792541504
0.01,0.0,0.25,1.160762071609497
-0.0,-0.01,0.25,1.1611218452453613
-0.0,-0.0,0.25,1.1649274826049805
-0.0,-0.01,0.26,1.1660749912261963
0.0,-0.0,0.24,1.1687657833099365
-0.0,-0.01,0.25,1.172166347503662
-0.0,-0.01,0.25,1.1728193759918213
-0.0,0.0,0.26,1.1762478351593018
-0.0,-0.01,0.24,1.176614761352539
-0.0,-0.0,0.25,1.1802666187286377
-0.0,-0.0,0.25,1.1811392307281494
-0.0,-0.01,0.25,1.1842460632324219
0.0,-0.0,0.25,1.184577465057373
0.0,0.0,0.25,1.1887569427490234
-0.0,-0.0,0.25,1.1894865036010742
-0.0,-0.0,0.24,1.1926488876342773
-0.0,0.0,0.25,1.1929893493652344
-0.0,-0.01,0.25,1.196887731552124
-0.0,0.01,0.25,1.1977512836456299
-0.0,-0.0,0.25,1.2009472846984863
-0.01,-0.0,0.24,1.2013227939605713
-0.01,-0.0,0.25,1.205216646194458
-0.0,-0.0,0.25,1.2063541412353516
-0.01,-0.0,0.25,1.2089614868164062
-0.0,-0.01,0.25,1.2093830108642578
-0.0,-0.0,0.25,1.2125542163848877
-0.0,-0.03,0.24,1.2129096984863281
-0.0,-0.01,0.24,1.216632604598999
0.0,-0.02,0.25,1.2202396392822266
-0.0,-0.01,0.26,1.2213160991668701
-0.0,-0.02,0.25,1.2249324321746826
-0.0,-0.02,0.25,1.225322961807251
-0.0,-0.03,0.25,1.2289228439331055
0.0,-0.02,0.24,1.2292664051055908
0.0,-0.02,0.25,1.2332639694213867
0.0,-0.02,0.25,1.2337234020233154
0.0,-0.03,0.24,1.2375609874725342
0.01,-0.02,0.25,1.2383079528808594
0.0,-0.02,0.24,1.2418255805969238
0.0,-0.02,0.25,1.242168664932251
0.0,-0.02,0.25,1.2459590435028076
0.0,-0.02,0.24,1.2462990283966064
0.01,-0.03,0.24,1.2500338554382324
-0.0,-0.03,0.25,1.2506072521209717
0.0,-0.02,0.25,1.2544643878936768
0.0,-0.0,0.25,1.2552263736724854
0.01,-0.01,0.24,1.2584664821624756
0.0,-0.01,0.25,1.258803129196167
-0.01,-0.01,0.24,1.2624852657318115
-0.0,-0.02,0.24,1.2631638050079346
-0.0,-0.02,0.24,1.2667336463928223
-0.0,-0.01,0.25,1.2672333717346191
0.0,-0.01,0.25,1.271050214767456
-0.0,-0.01,0.25,1.2721257209777832
0.0,-0.01,0.25,1.2753393650054932
0.0,0.0,0.25,1.2765226364135742
-0.0,-0.01,0.24,1.2793538570404053
-0.02,-0.0,0.25,1.2800312042236328
-0.0,-0.01,0.25,1.2829313278198242
-0.0,-0.01,0.25,1.283287763595581
-0.0,-0.0,0.25,1.2867324352264404
-0.0,-0.01,0.25,1.2873833179473877
-0.0,-0.0,0.24,1.291152000427246
0.0,-0.0,0.25,1.2942001819610596
